Team_ID,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Group,Year
35,1,it Roma,6,4,0,2,12,6,6,12,A,2009
25,2,eng Chelsea,6,3,2,1,9,5,4,11,A,2009
57,3,fr Bordeaux,6,2,1,3,5,11,-6,7,A,2009
63,4,ro CFR Cluj,6,1,1,4,5,9,-4,4,A,2009
19,1,gr Panathinaikos,6,3,1,2,8,7,1,10,B,2009
7,2,it Inter,6,2,2,2,8,7,1,8,B,2009
41,3,de Werder Bremen,6,1,4,1,7,9,-2,7,B,2009
64,4,cy Anorthosis,6,1,3,2,8,8,0,6,B,2009
39,1,es Barcelona,6,4,1,1,18,8,10,13,C,2009
56,2,pt Sporting CP,6,4,0,2,8,8,0,12,C,2009
40,3,ua Shakhtar,6,3,0,3,11,7,4,9,C,2009
65,4,ch Basel,6,0,1,5,2,16,-14,1,C,2009
33,1,eng Liverpool,6,4,2,0,11,5,6,14,D,2009
66,2,es Atlético Madrid,6,3,3,0,9,4,5,12,D,2009
23,3,fr Marseille,6,1,1,4,5,7,-2,4,D,2009
11,4,nl PSV Eindhoven,6,1,0,5,5,14,-9,3,D,2009
17,1,eng Manchester Utd,6,2,4,0,9,3,6,10,E,2009
48,2,es Villarreal,6,2,3,1,9,7,2,9,E,2009
67,3,dk Aalborg,6,1,3,2,9,14,-5,6,E,2009
3,4,sct Celtic,6,1,2,3,4,7,-3,5,E,2009
2,1,de Bayern Munich,6,4,2,0,12,4,8,14,F,2009
1,2,fr Lyon,6,3,2,1,14,10,4,11,F,2009
68,3,it Fiorentina,6,1,3,2,5,8,-3,6,F,2009
58,4,ro Steaua,6,0,1,5,3,12,-9,1,F,2009
22,1,pt Porto,6,4,0,2,9,8,1,12,G,2009
5,2,eng Arsenal,6,3,2,1,11,5,6,11,G,2009
8,3,ua Dynamo Kyiv,6,2,2,2,4,4,0,8,G,2009
37,4,tr Fenerbahçe,6,0,2,4,4,11,-7,2,G,2009
13,1,it Juventus,6,3,3,0,7,3,4,12,H,2009
21,2,es Real Madrid,6,4,0,2,9,5,4,12,H,2009
69,3,ru Zenit,6,1,2,3,4,7,-3,5,H,2009
70,4,by BATE Borisov,6,0,3,3,3,8,-5,3,H,2009
