Team_ID,Squad_cf,Year,Rk_cf,MP,W,D,L,GF,GA,GD,Pts
66,es Atlético Madrid,2015,6,4.0,1.0,1.0,2.0,1.0,2.0,-1.0,4.0
13,it Juventus,2015,2,7.0,4.0,2.0,1.0,10.0,6.0,4.0,14.0
16,gr Olympiacos,2015,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,se Malmö,2015,20,6.0,3.0,1.0,2.0,9.0,6.0,3.0,10.0
21,es Real Madrid,2015,3,6.0,2.0,2.0,2.0,8.0,7.0,1.0,8.0
65,ch Basel,2015,16,2.0,0.0,1.0,1.0,1.0,5.0,-4.0,1.0
33,eng Liverpool,2015,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,bg Ludogorets,2015,19,6.0,2.0,3.0,1.0,8.0,4.0,4.0,9.0
9,fr Monaco,2015,7,4.0,1.0,1.0,2.0,3.0,4.0,-1.0,4.0
34,de Leverkusen,2015,10,4.0,3.0,0.0,1.0,8.0,3.0,5.0,9.0
69,ru Zenit,2015,17,4.0,3.0,0.0,1.0,7.0,1.0,6.0,9.0
49,pt Benfica,2015,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,de Dortmund,2015,12,2.0,0.0,0.0,2.0,1.0,5.0,-4.0,0.0
5,eng Arsenal,2015,9,4.0,2.0,1.0,1.0,4.0,3.0,1.0,7.0
4,be Anderlecht,2015,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,tr Galatasaray,2015,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,de Bayern Munich,2015,4,6.0,3.0,1.0,2.0,17.0,9.0,8.0,10.0
88,eng Manchester City,2015,15,2.0,0.0,0.0,2.0,1.0,3.0,-2.0,0.0
35,it Roma,2015,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,ru CSKA Moscow,2015,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,es Barcelona,2015,1,7.0,6.0,0.0,1.0,16.0,6.0,10.0,18.0
44,fr Paris S-G,2015,8,4.0,0.0,2.0,2.0,4.0,8.0,-4.0,2.0
32,nl Ajax,2015,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,cy APOEL FC,2015,24,4.0,2.0,2.0,0.0,9.0,3.0,6.0,8.0
25,eng Chelsea,2015,11,2.0,0.0,2.0,0.0,3.0,3.0,0.0,2.0
51,de Schalke 04,2015,13,2.0,1.0,0.0,1.0,4.0,5.0,-1.0,3.0
56,pt Sporting CP,2015,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,si NK Maribor,2015,18,6.0,3.0,3.0,0.0,7.0,3.0,4.0,12.0
22,pt Porto,2015,5,6.0,4.0,1.0,1.0,12.0,8.0,4.0,13.0
40,ua Shakhtar,2015,14,2.0,0.0,1.0,1.0,0.0,7.0,-7.0,1.0
102,es Athletic Club,2015,22,2.0,1.0,1.0,0.0,4.0,2.0,2.0,4.0
70,by BATE Borisov,2015,21,6.0,2.0,3.0,1.0,8.0,4.0,4.0,9.0
