Team_ID,Rk,Stage,Squad,MP,W,D,L,GF,GA,GD,Pts,Year
21,1,W,es Real Madrid,13.0,9.0,2.0,2.0,33.0,16.0,17.0,29.0,2018
33,2,F,eng Liverpool,13.0,7.0,4.0,2.0,41.0,16.0,25.0,25.0,2018
2,3,SF,de Bayern Munich,12.0,8.0,2.0,2.0,26.0,12.0,14.0,26.0,2018
35,4,SF,it Roma,12.0,6.0,2.0,4.0,21.0,19.0,2.0,20.0,2018
39,5,QF,es Barcelona,10.0,6.0,3.0,1.0,17.0,6.0,11.0,21.0,2018
88,6,QF,eng Manchester City,10.0,6.0,0.0,4.0,20.0,12.0,8.0,18.0,2018
13,7,QF,it Juventus,10.0,5.0,3.0,2.0,14.0,12.0,2.0,18.0,2018
61,8,QF,es Sevilla,10.0,3.0,5.0,2.0,15.0,15.0,0.0,14.0,2018
80,9,R16,eng Tottenham,8.0,5.0,2.0,1.0,18.0,8.0,10.0,17.0,2018
17,10,R16,eng Manchester Utd,8.0,5.0,1.0,2.0,13.0,5.0,8.0,16.0,2018
44,11,R16,fr Paris S-G,8.0,5.0,0.0,3.0,27.0,9.0,18.0,15.0,2018
65,12,R16,ch Basel,8.0,5.0,0.0,3.0,13.0,10.0,3.0,15.0,2018
40,13,R16,ua Shakhtar,8.0,5.0,0.0,3.0,11.0,11.0,0.0,15.0,2018
27,14,R16,tr Beşiktaş,8.0,4.0,2.0,2.0,12.0,13.0,-1.0,14.0,2018
25,15,R16,eng Chelsea,8.0,3.0,3.0,2.0,17.0,12.0,5.0,12.0,2018
22,16,R16,pt Porto,8.0,3.0,2.0,3.0,15.0,15.0,0.0,11.0,2018
43,17,GR,ru CSKA Moscow,6.0,3.0,0.0,3.0,8.0,10.0,-2.0,9.0,2018
66,18,GR,es Atlético Madrid,6.0,1.0,4.0,1.0,5.0,4.0,1.0,7.0,2018
111,19,GR,de RB Leipzig,6.0,2.0,1.0,3.0,10.0,11.0,-1.0,7.0,2018
56,20,GR,pt Sporting CP,6.0,2.0,1.0,3.0,8.0,9.0,-1.0,7.0,2018
87,21,GR,it Napoli,6.0,2.0,0.0,4.0,11.0,11.0,0.0,6.0,2018
55,22,GR,ru Spartak Moscow,6.0,1.0,3.0,2.0,9.0,13.0,-4.0,6.0,2018
110,23,GR,nl Feyenoord,6.0,1.0,0.0,5.0,5.0,14.0,-9.0,3.0,2018
3,24,GR,sct Celtic,6.0,1.0,0.0,5.0,5.0,18.0,-13.0,3.0,2018
101,25,GR,si NK Maribor,6.0,0.0,3.0,3.0,3.0,16.0,-13.0,3.0,2018
4,26,GR,be Anderlecht,6.0,1.0,0.0,5.0,2.0,17.0,-15.0,3.0,2018
93,27,GR,de Dortmund,6.0,0.0,2.0,4.0,7.0,13.0,-6.0,2.0,2018
9,28,GR,fr Monaco,6.0,0.0,2.0,4.0,6.0,16.0,-10.0,2.0,2018
109,29,GR,az Qarabağ FK,6.0,0.0,2.0,4.0,2.0,14.0,-12.0,2.0,2018
74,30,GR,cy APOEL FC,6.0,0.0,2.0,4.0,2.0,17.0,-15.0,2.0,2018
16,31,GR,gr Olympiacos,6.0,0.0,1.0,5.0,4.0,13.0,-9.0,1.0,2018
49,32,GR,pt Benfica,6.0,0.0,0.0,6.0,1.0,14.0,-13.0,0.0,2018
