Team_ID,Rk,Stage,Squad,MP,W,D,L,GF,GA,GD,Pts,Year,Is_Winner
22,1,W,pt Porto,13.0,7.0,6.0,1.0,20.0,12.0,8.0,27.0,2004,1
9,2,F,fr Monaco,13.0,6.0,4.0,4.0,27.0,19.0,8.0,22.0,2004,0
25,3,SF,eng Chelsea,14.0,8.0,4.0,2.0,21.0,10.0,11.0,28.0,2004,0
10,4,SF,es La Coruña,14.0,7.0,3.0,4.0,20.0,17.0,3.0,24.0,2004,0
21,5,QF,es Real Madrid,10.0,6.0,3.0,1.0,18.0,11.0,7.0,21.0,2004,0
5,6,QF,eng Arsenal,10.0,5.0,2.0,3.0,16.0,11.0,5.0,17.0,2004,0
29,7,QF,it Milan,10.0,5.0,2.0,3.0,12.0,9.0,3.0,17.0,2004,0
1,8,QF,fr Lyon,10.0,5.0,2.0,3.0,11.0,11.0,0.0,17.0,2004,0
17,9,R16,eng Manchester Utd,8.0,5.0,1.0,2.0,15.0,5.0,10.0,16.0,2004,0
6,10,R16,ru Loko Moscow,10.0,4.0,2.0,4.0,12.0,11.0,1.0,14.0,2004,0
13,11,R16,it Juventus,8.0,4.0,1.0,3.0,15.0,8.0,7.0,13.0,2004,0
18,12,R16,de Stuttgart,8.0,4.0,1.0,3.0,9.0,7.0,2.0,13.0,2004,0
26,13,R16,cz Sparta Prague,10.0,3.0,4.0,3.0,11.0,13.0,-2.0,13.0,2004,0
30,14,R16,es Celta Vigo,10.0,3.0,3.0,4.0,12.0,13.0,-1.0,12.0,2004,0
2,15,R16,de Bayern Munich,8.0,2.0,4.0,2.0,7.0,7.0,0.0,10.0,2004,0
14,16,R16,es Real Sociedad,8.0,2.0,3.0,3.0,8.0,10.0,-2.0,9.0,2004,0
3,17,GR,sct Celtic,10.0,6.0,1.0,3.0,18.0,7.0,11.0,19.0,2004,0
4,18,GR,be Anderlecht,10.0,5.0,2.0,3.0,11.0,9.0,2.0,17.0,2004,0
8,19,GR,ua Dynamo Kyiv,8.0,4.0,1.0,3.0,13.0,9.0,4.0,13.0,2004,0
15,20,GR,tr Galatasaray,8.0,4.0,1.0,3.0,12.0,8.0,4.0,13.0,2004,0
28,21,GR,it Lazio,8.0,3.0,2.0,3.0,10.0,11.0,-1.0,11.0,2004,0
31,22,GR,be Club Brugge,8.0,3.0,2.0,3.0,8.0,9.0,-1.0,11.0,2004,0
11,23,GR,nl PSV Eindhoven,6.0,3.0,1.0,2.0,8.0,7.0,1.0,10.0,2004,0
32,24,GR,nl Ajax,8.0,3.0,1.0,4.0,9.0,9.0,0.0,10.0,2004,0
23,25,GR,fr Marseille,8.0,2.0,2.0,4.0,10.0,11.0,-1.0,8.0,2004,0
7,26,GR,it Inter,6.0,2.0,2.0,2.0,8.0,11.0,-3.0,8.0,2004,0
24,27,GR,rs Partizan,10.0,1.0,5.0,4.0,7.0,12.0,-5.0,8.0,2004,0
20,28,GR,sct Rangers,8.0,2.0,2.0,4.0,7.0,12.0,-5.0,8.0,2004,0
27,29,GR,tr Beşiktaş,6.0,2.0,1.0,3.0,5.0,7.0,-2.0,7.0,2004,0
12,30,GR,gr AEK Athens,8.0,1.0,2.0,5.0,4.0,13.0,-9.0,5.0,2004,0
16,31,GR,gr Olympiacos,6.0,1.0,1.0,4.0,6.0,13.0,-7.0,4.0,2004,0
19,32,GR,gr Panathinaikos,6.0,1.0,1.0,4.0,5.0,13.0,-8.0,4.0,2004,0
33,1,W,eng Liverpool,15.0,8.0,5.0,3.0,20.0,10.0,10.0,29.0,2005,1
29,2,F,it Milan,13.0,9.0,3.0,2.0,23.0,9.0,14.0,30.0,2005,0
11,3,SF,nl PSV Eindhoven,14.0,7.0,3.0,4.0,21.0,15.0,6.0,24.0,2005,0
25,4,SF,eng Chelsea,12.0,6.0,2.0,4.0,21.0,13.0,8.0,20.0,2005,0
13,5,QF,it Juventus,12.0,7.0,3.0,2.0,15.0,7.0,8.0,24.0,2005,0
7,6,QF,it Inter,12.0,6.0,4.0,2.0,23.0,12.0,11.0,22.0,2005,0
1,7,QF,fr Lyon,10.0,6.0,3.0,1.0,29.0,12.0,17.0,21.0,2005,0
2,8,QF,de Bayern Munich,10.0,5.0,1.0,4.0,20.0,13.0,7.0,16.0,2005,0
21,9,R16,es Real Madrid,10.0,6.0,2.0,2.0,17.0,11.0,6.0,20.0,2005,0
9,10,R16,fr Monaco,10.0,6.0,0.0,4.0,19.0,7.0,12.0,18.0,2005,0
17,11,R16,eng Manchester Utd,10.0,5.0,2.0,3.0,19.0,12.0,7.0,17.0,2005,0
34,12,R16,de Leverkusen,10.0,4.0,2.0,4.0,21.0,15.0,6.0,14.0,2005,0
5,13,R16,eng Arsenal,8.0,3.0,4.0,1.0,13.0,9.0,4.0,13.0,2005,0
39,14,R16,es Barcelona,8.0,4.0,1.0,3.0,13.0,11.0,2.0,13.0,2005,0
41,15,R16,de Werder Bremen,8.0,4.0,1.0,3.0,14.0,16.0,-2.0,13.0,2005,0
22,16,R16,pt Porto,8.0,2.0,3.0,3.0,6.0,10.0,-4.0,9.0,2005,0
40,17,GR,ua Shakhtar,10.0,5.0,1.0,4.0,15.0,13.0,2.0,16.0,2005,0
43,18,GR,ru CSKA Moscow,10.0,4.0,3.0,3.0,10.0,7.0,3.0,15.0,2005,0
38,19,GR,no Rosenborg,10.0,4.0,2.0,4.0,15.0,17.0,-2.0,14.0,2005,0
36,20,GR,il Maccabi Tel Aviv,10.0,4.0,2.0,4.0,9.0,12.0,-3.0,14.0,2005,0
8,21,GR,ua Dynamo Kyiv,8.0,4.0,1.0,3.0,14.0,10.0,4.0,13.0,2005,0
16,22,GR,gr Olympiacos,6.0,3.0,1.0,2.0,5.0,5.0,0.0,10.0,2005,0
19,23,GR,gr Panathinaikos,6.0,2.0,3.0,1.0,11.0,8.0,3.0,9.0,2005,0
37,24,GR,tr Fenerbahçe,6.0,3.0,0.0,3.0,10.0,13.0,-3.0,9.0,2005,0
26,25,GR,cz Sparta Prague,10.0,2.0,2.0,6.0,8.0,17.0,-9.0,8.0,2005,0
42,26,GR,es Valencia,6.0,2.0,1.0,3.0,6.0,10.0,-4.0,7.0,2005,0
10,27,GR,es La Coruña,8.0,1.0,3.0,4.0,3.0,9.0,-6.0,6.0,2005,0
44,28,GR,fr Paris S-G,6.0,1.0,2.0,3.0,3.0,8.0,-5.0,5.0,2005,0
3,29,GR,sct Celtic,6.0,1.0,2.0,3.0,4.0,10.0,-6.0,5.0,2005,0
32,30,GR,nl Ajax,6.0,1.0,1.0,4.0,6.0,10.0,-4.0,4.0,2005,0
4,31,GR,be Anderlecht,8.0,1.0,0.0,7.0,7.0,18.0,-11.0,3.0,2005,0
35,32,GR,it Roma,6.0,0.0,1.0,5.0,4.0,16.0,-12.0,1.0,2005,0
39,1,W,es Barcelona,13.0,9.0,5.0,0.0,24.0,5.0,19.0,32.0,2006,1
