Team_ID,Squad_cf,Year,Rk_cf,MP,W,D,L,GF,GA,GD,Pts
1,fr Lyon,2004,8,4.0,2.0,1.0,1.0,4.0,4.0,0.0,7.0
2,de Bayern Munich,2004,15,2.0,0.0,1.0,1.0,1.0,2.0,-1.0,1.0
3,sct Celtic,2004,17,4.0,4.0,0.0,0.0,10.0,0.0,10.0,12.0
4,be Anderlecht,2004,18,4.0,3.0,1.0,0.0,7.0,3.0,4.0,10.0
5,eng Arsenal,2004,6,4.0,2.0,1.0,1.0,7.0,5.0,2.0,7.0
6,ru Loko Moscow,2004,10,4.0,2.0,0.0,2.0,5.0,4.0,1.0,6.0
7,it Inter,2004,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,ua Dynamo Kyiv,2004,19,2.0,2.0,0.0,0.0,5.0,1.0,4.0,6.0
9,fr Monaco,2004,2,7.0,3.0,2.0,3.0,12.0,13.0,-1.0,11.0
10,es La Coruña,2004,4,8.0,4.0,2.0,2.0,8.0,5.0,3.0,14.0
11,nl PSV Eindhoven,2004,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,gr AEK Athens,2004,30,2.0,1.0,0.0,1.0,3.0,2.0,1.0,3.0
13,it Juventus,2004,11,2.0,0.0,0.0,2.0,0.0,2.0,-2.0,0.0
14,es Real Sociedad,2004,16,2.0,0.0,0.0,2.0,0.0,2.0,-2.0,0.0
15,tr Galatasaray,2004,20,2.0,2.0,0.0,0.0,6.0,0.0,6.0,6.0
16,gr Olympiacos,2004,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,eng Manchester Utd,2004,9,2.0,0.0,1.0,1.0,2.0,3.0,-1.0,1.0
18,de Stuttgart,2004,12,2.0,0.0,1.0,1.0,0.0,1.0,-1.0,1.0
19,gr Panathinaikos,2004,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,sct Rangers,2004,28,2.0,1.0,1.0,0.0,3.0,2.0,1.0,4.0
21,es Real Madrid,2004,5,4.0,2.0,1.0,1.0,7.0,6.0,1.0,7.0
22,pt Porto,2004,1,7.0,4.0,4.0,0.0,11.0,4.0,7.0,16.0
23,fr Marseille,2004,25,2.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0
24,rs Partizan,2004,27,4.0,1.0,2.0,1.0,4.0,4.0,0.0,5.0
25,eng Chelsea,2004,3,8.0,4.0,3.0,1.0,12.0,7.0,5.0,15.0
26,cz Sparta Prague,2004,13,4.0,1.0,2.0,1.0,6.0,8.0,-2.0,5.0
27,tr Beşiktaş,2004,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,it Lazio,2004,21,2.0,2.0,0.0,0.0,4.0,1.0,3.0,6.0
29,it Milan,2004,7,4.0,2.0,1.0,1.0,8.0,6.0,2.0,7.0
30,es Celta Vigo,2004,14,4.0,1.0,0.0,3.0,5.0,7.0,-2.0,3.0
31,be Club Brugge,2004,22,2.0,1.0,0.0,1.0,3.0,3.0,0.0,3.0
32,nl Ajax,2004,24,2.0,1.0,1.0,0.0,3.0,2.0,1.0,4.0
9,fr Monaco,2005,10,4.0,2.0,0.0,2.0,9.0,3.0,6.0,6.0
33,eng Liverpool,2005,1,9.0,5.0,4.0,1.0,14.0,7.0,7.0,19.0
16,gr Olympiacos,2005,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,es La Coruña,2005,27,2.0,1.0,1.0,0.0,3.0,0.0,3.0,4.0
34,de Leverkusen,2005,12,4.0,1.0,0.0,3.0,8.0,8.0,0.0,3.0
21,es Real Madrid,2005,9,4.0,3.0,0.0,1.0,6.0,3.0,3.0,9.0
8,ua Dynamo Kyiv,2005,21,2.0,1.0,0.0,1.0,3.0,2.0,1.0,3.0
35,it Roma,2005,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,it Juventus,2005,5,6.0,2.0,2.0,2.0,9.0,6.0,3.0,8.0
2,de Bayern Munich,2005,8,4.0,2.0,0.0,2.0,8.0,8.0,0.0,6.0
32,nl Ajax,2005,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,il Maccabi Tel Aviv,2005,20,4.0,3.0,1.0,0.0,5.0,0.0,5.0,10.0
1,fr Lyon,2005,7,4.0,2.0,2.0,0.0,12.0,4.0,8.0,8.0
17,eng Manchester Utd,2005,11,4.0,2.0,0.0,2.0,5.0,3.0,2.0,6.0
37,tr Fenerbahçe,2005,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,cz Sparta Prague,2005,25,4.0,2.0,1.0,1.0,6.0,4.0,2.0,7.0
5,eng Arsenal,2005,13,2.0,1.0,0.0,1.0,2.0,3.0,-1.0,3.0
11,nl PSV Eindhoven,2005,3,8.0,4.0,2.0,2.0,15.0,8.0,7.0,14.0
19,gr Panathinaikos,2005,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,no Rosenborg,2005,19,4.0,4.0,0.0,0.0,9.0,4.0,5.0,12.0
29,it Milan,2005,2,7.0,5.0,2.0,1.0,13.0,6.0,7.0,17.0
39,es Barcelona,2005,14,2.0,1.0,0.0,1.0,4.0,5.0,-1.0,3.0
40,ua Shakhtar,2005,17,4.0,3.0,1.0,0.0,10.0,4.0,6.0,10.0
3,sct Celtic,2005,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,it Inter,2005,6,6.0,2.0,2.0,2.0,9.0,9.0,0.0,8.0
41,de Werder Bremen,2005,15,2.0,0.0,0.0,2.0,2.0,10.0,-8.0,0.0
42,es Valencia,2005,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,be Anderlecht,2005,31,2.0,1.0,0.0,1.0,3.0,1.0,2.0,3.0
25,eng Chelsea,2005,4,6.0,2.0,1.0,3.0,11.0,10.0,1.0,7.0
22,pt Porto,2005,16,2.0,0.0,1.0,1.0,2.0,4.0,-2.0,1.0
43,ru CSKA Moscow,2005,18,4.0,2.0,2.0,0.0,5.0,2.0,3.0,8.0
44,fr Paris S-G,2005,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,it Juventus,2006,7,4.0,1.0,1.0,2.0,4.0,6.0,-2.0,4.0
2,de Bayern Munich,2006,12,2.0,0.0,1.0,1.0,2.0,5.0,-3.0,1.0
31,be Club Brugge,2006,23,2.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0
45,at Rapid Wien,2006,24,4.0,3.0,1.0,0.0,11.0,4.0,7.0,10.0
5,eng Arsenal,2006,2,7.0,3.0,4.0,1.0,5.0,2.0,3.0,13.0
32,nl Ajax,2006,10,4.0,1.0,2.0,1.0,7.0,6.0,1.0,5.0
46,ch Thun,2006,17,4.0,3.0,1.0,0.0,7.0,2.0,5.0,10.0
26,cz Sparta Prague,2006,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,es Barcelona,2006,1,7.0,4.0,4.0,0.0,8.0,3.0,5.0,16.0
41,de Werder Bremen,2006,13,4.0,2.0,0.0,2.0,8.0,6.0,2.0,6.0
47,it Udinese,2006,19,2.0,2.0,0.0,0.0,4.0,2.0,2.0,6.0
19,gr Panathinaikos,2006,27,2.0,1.0,0.0,1.0,5.0,4.0,1.0,3.0
48,es Villarreal,2006,3,8.0,3.0,3.0,2.0,9.0,8.0,1.0,12.0
49,pt Benfica,2006,8,4.0,2.0,1.0,1.0,3.0,2.0,1.0,7.0
50,fr Lille,2006,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,eng Manchester Utd,2006,20,2.0,2.0,0.0,0.0,6.0,0.0,6.0,6.0
29,it Milan,2006,4,6.0,2.0,3.0,1.0,8.0,4.0,4.0,9.0
11,nl PSV Eindhoven,2006,16,2.0,0.0,0.0,2.0,0.0,5.0,-5.0,0.0
51,de Schalke 04,2006,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,tr Fenerbahçe,2006,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,fr Lyon,2006,6,4.0,2.0,1.0,1.0,6.0,3.0,3.0,7.0
21,es Real Madrid,2006,15,2.0,0.0,1.0,1.0,0.0,1.0,-1.0,1.0
38,no Rosenborg,2006,26,2.0,1.0,1.0,0.0,4.0,3.0,1.0,4.0
16,gr Olympiacos,2006,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,eng Liverpool,2006,9,8.0,5.0,0.0,3.0,14.0,6.0,8.0,15.0
25,eng Chelsea,2006,14,2.0,0.0,1.0,1.0,2.0,3.0,-1.0,1.0
52,es Betis,2006,22,2.0,1.0,1.0,0.0,3.0,2.0,1.0,4.0
4,be Anderlecht,2006,21,4.0,3.0,0.0,1.0,9.0,2.0,7.0,9.0
7,it Inter,2006,5,6.0,3.0,2.0,1.0,8.0,5.0,3.0,11.0
20,sct Rangers,2006,11,4.0,2.0,2.0,0.0,7.0,4.0,3.0,8.0
53,sk Artmedia,2006,18,6.0,2.0,2.0,2.0,9.0,7.0,2.0,8.0
22,pt Porto,2006,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,eng Chelsea,2007,4,6.0,3.0,2.0,1.0,7.0,5.0,2.0,11.0
39,es Barcelona,2007,12,2.0,1.0,0.0,1.0,2.0,2.0,0.0,3.0
41,de Werder Bremen,2007,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,bg Levski Sofia,2007,26,4.0,3.0,1.0,0.0,8.0,2.0,6.0,10.0
2,de Bayern Munich,2007,7,4.0,1.0,1.0,2.0,6.0,8.0,-2.0,4.0
7,it Inter,2007,15,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0
55,ru Spartak Moscow,2007,24,4.0,1.0,3.0,0.0,3.0,2.0,1.0,6.0
56,pt Sporting CP,2007,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,eng Liverpool,2007,2,9.0,5.0,2.0,3.0,11.0,7.0,4.0,17.0
11,nl PSV Eindhoven,2007,8,4.0,1.0,1.0,2.0,2.0,5.0,-3.0,4.0
57,fr Bordeaux,2007,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,tr Galatasaray,2007,27,2.0,1.0,1.0,0.0,6.0,3.0,3.0,4.0
42,es Valencia,2007,5,6.0,1.0,3.0,2.0,7.0,6.0,1.0,6.0
35,it Roma,2007,6,4.0,2.0,1.0,1.0,5.0,8.0,-3.0,7.0
40,ua Shakhtar,2007,22,2.0,2.0,0.0,0.0,4.0,2.0,2.0,6.0
16,gr Olympiacos,2007,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,fr Lyon,2007,10,2.0,0.0,1.0,1.0,0.0,2.0,-2.0,1.0
21,es Real Madrid,2007,13,2.0,1.0,0.0,1.0,4.0,4.0,0.0,3.0
58,ro Steaua,2007,17,4.0,3.0,1.0,0.0,9.0,3.0,6.0,10.0
8,ua Dynamo Kyiv,2007,21,4.0,3.0,1.0,0.0,13.0,4.0,9.0,10.0
17,eng Manchester Utd,2007,3,6.0,4.0,0.0,2.0,13.0,8.0,5.0,12.0
3,sct Celtic,2007,16,2.0,0.0,1.0,1.0,0.0,1.0,-1.0,1.0
49,pt Benfica,2007,23,2.0,1.0,1.0,0.0,4.0,1.0,3.0,4.0
59,dk FC Copenhagen,2007,20,4.0,2.0,1.0,1.0,7.0,4.0,3.0,7.0
5,eng Arsenal,2007,9,4.0,2.0,1.0,1.0,6.0,3.0,3.0,7.0
22,pt Porto,2007,14,2.0,0.0,1.0,1.0,2.0,3.0,-1.0,1.0
43,ru CSKA Moscow,2007,18,2.0,2.0,0.0,0.0,5.0,0.0,5.0,6.0
60,de Hamburger SV,2007,30,2.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0
29,it Milan,2007,1,9.0,6.0,3.0,1.0,15.0,7.0,8.0,21.0
50,fr Lille,2007,11,4.0,2.0,0.0,2.0,4.0,2.0,2.0,6.0
