Team_ID,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Group,Year
1,1,fr Lyon,6,3,1,2,7,7,0,10,A,2004
2,2,de Bayern Munich,6,2,3,1,6,5,1,9,A,2004
3,3,sct Celtic,6,2,1,3,8,7,1,7,A,2004
4,4,be Anderlecht,6,2,1,3,4,6,-2,7,A,2004
5,1,eng Arsenal,6,3,1,2,9,6,3,10,B,2004
6,2,ru Loko Moscow,6,2,2,2,7,7,0,8,B,2004
7,3,it Inter,6,2,2,2,8,11,-3,8,B,2004
8,4,ua Dynamo Kyiv,6,2,1,3,8,8,0,7,B,2004
9,1,fr Monaco,6,3,2,1,15,6,9,11,C,2004
10,2,es La Coruña,6,3,1,2,12,12,0,10,C,2004
11,3,nl PSV Eindhoven,6,3,1,2,8,7,1,10,C,2004
12,4,gr AEK Athens,6,0,2,4,1,11,-10,2,C,2004
13,1,it Juventus,6,4,1,1,15,6,9,13,D,2004
14,2,es Real Sociedad,6,2,3,1,8,8,0,9,D,2004
15,3,tr Galatasaray,6,2,1,3,6,8,-2,7,D,2004
16,4,gr Olympiacos,6,1,1,4,6,13,-7,4,D,2004
17,1,eng Manchester Utd,6,5,0,1,13,2,11,15,E,2004
18,2,de Stuttgart,6,4,0,2,9,6,3,12,E,2004
19,3,gr Panathinaikos,6,1,1,4,5,13,-8,4,E,2004
20,4,sct Rangers,6,1,1,4,4,10,-6,4,E,2004
21,1,es Real Madrid,6,4,2,0,11,5,6,14,F,2004
22,2,pt Porto,6,3,2,1,9,8,1,11,F,2004
23,3,fr Marseille,6,1,1,4,9,11,-2,4,F,2004
24,4,rs Partizan,6,0,3,3,3,8,-5,3,F,2004
25,1,eng Chelsea,6,4,1,1,9,3,6,13,G,2004
26,2,cz Sparta Prague,6,2,2,2,5,5,0,8,G,2004
27,3,tr Beşiktaş,6,2,1,3,5,7,-2,7,G,2004
28,4,it Lazio,6,1,2,3,6,10,-4,5,G,2004
29,1,it Milan,6,3,1,2,4,3,1,10,H,2004
30,2,es Celta Vigo,6,2,3,1,7,6,1,9,H,2004
31,3,be Club Brugge,6,2,2,2,5,6,-1,8,H,2004
32,4,nl Ajax,6,2,0,4,6,7,-1,6,H,2004
9,1,fr Monaco,6,4,0,2,10,4,6,12,A,2005
33,2,eng Liverpool,6,3,1,2,6,3,3,10,A,2005
16,3,gr Olympiacos,6,3,1,2,5,5,0,10,A,2005
10,4,es La Coruña,6,0,2,4,0,9,-9,2,A,2005
34,1,de Leverkusen,6,3,2,1,13,7,6,11,B,2005
21,2,es Real Madrid,6,3,2,1,11,8,3,11,B,2005
8,3,ua Dynamo Kyiv,6,3,1,2,11,8,3,10,B,2005
35,4,it Roma,6,0,1,5,4,16,-12,1,B,2005
13,1,it Juventus,6,5,1,0,6,1,5,16,C,2005
