Squad,Participaciones,W_t,D_t,L_t,GF_t,GA_t,GD_t,Pts_t,Stage_pts_t,Titulos
es Real Madrid,20,125.0,44.0,44.0,455.0,230.0,225.0,419.0,73.0,5
es Barcelona,19,111.0,56.0,34.0,398.0,188.0,210.0,389.0,65.0,4
de Bayern Munich,19,126.0,38.0,38.0,459.0,198.0,261.0,416.0,67.0,2
eng Chelsea,18,92.0,56.0,38.0,317.0,167.0,150.0,332.0,58.0,2
eng Liverpool,13,83.0,30.0,36.0,272.0,141.0,131.0,279.0,43.0,2
eng Manchester City,12,64.0,24.0,27.0,237.0,126.0,111.0,216.0,34.0,1
it Milan,12,50.0,37.0,35.0,166.0,123.0,43.0,187.0,35.0,1
it Inter,14,56.0,31.0,37.0,171.0,137.0,34.0,199.0,30.0,1
eng Manchester Utd,16,77.0,42.0,34.0,247.0,137.0,110.0,273.0,39.0,1
pt Porto,18,68.0,37.0,45.0,211.0,172.0,39.0,241.0,34.0,1
it Udinese,1,4.0,1.0,3.0,14.0,14.0,0.0,13.0,0.0,0
nl AZ Alkmaar,1,0.0,4.0,2.0,4.0,8.0,-4.0,4.0,0.0,0
nl Ajax,13,35.0,25.0,36.0,146.0,137.0,9.0,130.0,8.0,0
md Sheriff Tiraspol,1,2.0,1.0,3.0,7.0,11.0,-4.0,7.0,0.0,0
nl Feyenoord,1,1.0,0.0,5.0,5.0,14.0,-9.0,3.0,0.0,0
nl PSV Eindhoven,9,23.0,15.0,32.0,67.0,95.0,-28.0,84.0,11.0,0
kz FC Astana,1,3.0,6.0,3.0,14.0,17.0,-3.0,15.0,0.0,0
at Austria Wien,1,3.0,4.0,3.0,10.0,13.0,-3.0,13.0,0.0,0
it Napoli,7,25.0,12.0,15.0,94.0,66.0,28.0,87.0,9.0,0
it Roma,9,30.0,13.0,33.0,111.0,128.0,-17.0,103.0,18.0,0
no Rosenborg,3,12.0,5.0,11.0,46.0,43.0,3.0,41.0,0.0,0
it Lazio,3,7.0,9.0,8.0,35.0,37.0,-2.0,30.0,2.0,0
it Juventus,16,75.0,35.0,36.0,219.0,140.0,79.0,260.0,37.0,0
it Fiorentina,2,7.0,7.0,4.0,28.0,22.0,6.0,28.0,2.0,0
it Atalanta,3,8.0,6.0,9.0,40.0,43.0,-3.0,30.0,5.0,0
il Maccabi Tel Aviv,2,6.0,4.0,12.0,22.0,36.0,-14.0,22.0,0.0,0
il Maccabi Haifa,2,4.0,3.0,11.0,26.0,33.0,-7.0,15.0,0.0,0
il Hapoel Tel Aviv,1,4.0,4.0,4.0,20.0,15.0,5.0,16.0,0.0,0
hu Ferencváros,1,0.0,1.0,5.0,5.0,17.0,-12.0,1.0,0.0,0
hu Debrecen,1,3.0,2.0,7.0,14.0,23.0,-9.0,11.0,0.0,0
